Team,Mascot,Abbreviation,Conference,Division,Color,Alt Color,Logos[0],Location Name,Location City,Location State
Air Force,Falcons,AFA,Mountain West,,#004a7b,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,Falcon Stadium,Colorado Springs,CO
Akron,Zips,AKR,Mid-American,,#00285e,#84754e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,Summa Field at InfoCision Stadium,Akron,OH
Alabama,Crimson Tide,ALA,SEC,,#9e1632,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,Bryant Denny Stadium,Tuscaloosa,AL
Appalachian State,Mountaineers,APP,Sun Belt,East,#000000,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,Kidd Brewer Stadium,Boone,NC
Arizona,Wildcats,ARIZ,Big 12,,#0c234b,#ab0520,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,Arizona Stadium,Tucson,AZ
Arizona State,Sun Devils,ASU,Big 12,,#8e0c3a,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,Sun Devil Stadium,Tempe,AZ
Arkansas,Razorbacks,ARK,SEC,,#a41f35,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Fayetteville,AR
Arkansas State,Red Wolves,ARST,Sun Belt,West,#e81018,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,Centennial Bank Stadium,Jonesboro,AR
Army,Black Knights,ARMY,American Athletic,,#ce9c00,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,Blaik Field at Michie Stadium,West Point,NY
Auburn,Tigers,AUB,SEC,,#002b5c,#f26522,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Jordan-Hare Stadium,Auburn,AL
Ball State,Cardinals,BALL,Mid-American,,#DA0000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,Scheumann Stadium,Muncie,IN
Baylor,Bears,BAY,Big 12,,#154734,#ffb81c,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,McLane Stadium,Waco,TX
Boise State,Broncos,BSU,Mountain West,,#0033a0,#fa4616,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,Albertsons Stadium,Boise,ID
Boston College,Eagles,BC,ACC,,#8c2232,#dbcca6,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,Alumni Stadium,Chestnut Hill,MA
Bowling Green,Falcons,BGSU,Mid-American,,#2b1000,#492000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,Doyt Perry Stadium,Bowling Green,OH
Buffalo,Bulls,BUFF,Mid-American,,#041A9B,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,UB Stadium,Amherst,NY
BYU,Cougars,BYU,Big 12,,#003da5,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,LaVell Edwards Stadium,Provo,UT
California,Golden Bears,CAL,ACC,,#031522,#ffc423,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,California Memorial Stadium,Berkeley,CA
Central Michigan,Chippewas,CMU,Mid-American,,#6a0032,#ffc82e,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,Kelly/Shorts Stadium,Mount Pleasant,MI
Charlotte,49ers,CHAR,American Athletic,,#cfab7a,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,Jerry Richardson Stadium,Charlotte,NC
Cincinnati,Bearcats,CIN,Big 12,,#000000,#717073,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,Nippert Stadium,Cincinnati,OH
Clemson,Tigers,CLEM,ACC,,#f56600,#522d80,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,Memorial Stadium,Clemson,SC
Coastal Carolina,Chanticleers,CCU,Sun Belt,East,#007073,#876447,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,Brooks Stadium,Conway,SC
Colorado,Buffaloes,COLO,Big 12,,#000000,#cfb87c,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,Folsom Field,Boulder,CO
Colorado State,Rams,CSU,Mountain West,,#1e4d2b,#c8c372,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,Canvas Stadium,Fort Collins,CO
Connecticut,Huskies,CONN,FBS Independents,,#0c2340,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,Rentschler Field,East Hartford,CT
Duke,Blue Devils,DUKE,ACC,,#013088,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,Wallace Wade Stadium,Durham,NC
East Carolina,Pirates,ECU,American Athletic,,#4b1869,#f0907b,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,Dowdy-Ficklen Stadium,Greenville,NC
Eastern Michigan,Eagles,EMU,Mid-American,,#00331b,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,Rynearson Stadium,Ypsilanti,MI
Florida,Gators,FLA,SEC,,#0021a5,#fa4616,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,Ben Hill Griffin Stadium,Gainesville,FL
Florida Atlantic,Owls,FAU,American Athletic,,#00447c,#d31245,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,FAU Stadium,Boca Raton,FL
Florida International,Golden Panthers,FIU,Conference USA,,#001538,#c5960c,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,FIU Stadium,Miami,FL
Florida State,Seminoles,FSU,ACC,,#782F40,#ceb888,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL
Fresno State,Bulldogs,FRES,Mountain West,,#c41230,#13284c,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,Bulldog Stadium,Fresno,CA
Georgia,Bulldogs,UGA,SEC,,#ba0c2f,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,Sanford Stadium,Athens,GA
Georgia Southern,Eagles,GASO,Sun Belt,East,#003775,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,Paulson Stadium,Statesboro,GA
Georgia State,Panthers,GAST,Sun Belt,East,#1e539a,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,Georgia State Stadium,Atlanta,GA
Georgia Tech,Yellow Jackets,GT,ACC,,#003057,#b3a369,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA
Hawai'i,Rainbow Warriors,HAW,Mountain West,,#003420,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,Clarence T.C. Ching Athletics Complex,Honolulu,HI
Houston,Cougars,HOU,Big 12,,#c92a39,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,John O'Quinn Field at TDECU Stadium,Houston,TX
Illinois,Fighting Illini,ILL,Big Ten,,#ff5f05,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,Memorial Stadium,Champaign,IL
Indiana,Hoosiers,IND,Big Ten,,#990000,#edebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,Memorial Stadium,Bloomington,IN
Iowa,Hawkeyes,IOWA,Big Ten,,#000000,#fcd116,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,Kinnick Stadium,Iowa City,IA
Iowa State,Cyclones,ISU,Big 12,,#822433,#fdca2f,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,Jack Trice Stadium,Ames,IA
Jacksonville State,Gamecocks,JVST,Conference USA,,#b50500,#b5b7ba,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,JSU Stadium,Jacksonville,AL
James Madison,Dukes,JMU,Sun Belt,East,#450084,#b5a068,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,Bridgeforth Stadium,Harrisonburg,VA
Kansas,Jayhawks,KU,Big 12,,#0051ba,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,Memorial Stadium,Lawrence,KS
Kansas State,Wildcats,KSU,Big 12,,#3c0969,#e2e3e4,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,Bill Snyder Family Football Stadium,Manhattan,KS
