"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2005","Navy","FBS Independents","-1.481","55","70","33","98","","67","46.642","68.836","27.692","48.076"
"2005","Michigan State","Big Ten","9.817","46","30","44","37","","28","66.158","75.83","52.72","34.68"
"2005","Illinois","Big Ten","-11.498","92","99","112","9","","95","26.658","46.494","21.003","32.566"
"2005","Wisconsin","Big Ten","11.29","13","24","29","40","","19","72.037","70.763","57.122","75.669"
"2005","Iowa","Big Ten","14.454","31","17","26","36","","17","73.963","71.986","61.477","70.469"
"2005","Michigan","Big Ten","15.842","22","14","22","7","","11","71.884","56.474","72.651","70.266"
"2005","Ohio State","Big Ten","23.903","4","3","5","12","","3","86.865","73.285","83.705","74.706"
"2005","Minnesota","Big Ten","12.92","25","20","34","14","","21","67.507","80.062","43.454","44.776"
"2005","Purdue","Big Ten","9.88","45","29","75","18","","51","58.128","52.011","57.705","60.049"
"2005","Indiana","Big Ten","-6.096","67","85","96","32","","72","34.157","38.21","44.684","25.316"
"2005","Northwestern","Big Ten","5.186","21","42","60","4","","33","61.169","74.432","48.682","25.789"
"2005","USC","Pac-10","32.163","2","2","4","1","","1","94.112","95.802","78.651","40.708"
"2005","UCLA","Pac-10","11.225","8","25","62","19","","48","69.353","78.61","45.951","70.301"
"2005","Washington","Pac-10","0.966","86","62","95","3","","61","46.572","47.346","50.706","37.946"
"2005","Arizona State","Pac-10","14.189","29","18","43","17","","26","68.126","79.011","48.158","50.069"
"2005","Stanford","Pac-10","4.773","37","45","59","2","","31","55.196","47.188","53.086","70.533"
"2005","California","Pac-10","13.678","24","19","25","56","","22","66.893","62.894","64.359","51.982"
"2005","Arizona","Pac-10","4.534","75","48","72","11","","43","51.569","42.65","62.085","43.581"
"2005","Oregon State","Pac-10","3.393","40","55","98","6","","70","49.424","36.576","62.6","52.621"
"2005","Oregon","Pac-10","16.6","6","13","18","10","","7","77.796","70.2","74.979","55.094"
"2005","Washington State","Pac-10","8.211","70","35","40","34","","30","59.598","68.518","48.672","45.225"
"2005","Syracuse","Big East","-6.843","107","87","108","41","","94","28.528","11.503","60.915","40.841"
"2005","Pittsburgh","Big East","4.089","66","51","71","62","","64","51.837","38.655","60.921","58.342"
"2005","Rutgers","Big East","1.9","53","56","31","76","","44","54.502","51.467","52.38","59.839"
"2005","West Virginia","Big East","12.323","5","21","6","60","","9","76.974","76.247","69.425","46.7"
"2005","Penn State","Big Ten","20.082","3","5","2","21","","4","83.663","74.008","83.419","47.041"
"2005","Nebraska","Big 12","4.677","30","46","54","46","","52","56.229","38.677","63.422","71.289"
"2005","Colorado","Big 12","6.824","33","39","68","20","","46","55.651","41.331","60.536","68.735"
"2005","Kansas State","Big 12","-0.709","59","67","83","57","","68","50.909","42.864","60.839","43.876"
"2005","Missouri","Big 12","3.986","44","53","51","63","","53","54.902","60.351","51.304","36.785"
"2005","Kansas","Big 12","4.958","36","44","64","53","","55","53.521","29.273","73.724","54.82"
"2005","Iowa State","Big 12","9.271","43","32","24","59","","25","63.07","47.958","71.381","53.131"
"2005","Texas","Big 12","33.626","1","1","1","25","","2","94.784","92.029","85.027","71.88"
"2005","Texas Tech","Big 12","16.699","20","12","13","66","","20","73.409","77.767","58.893","47.531"
"2005","Texas A&M","Big 12","9.775","51","31","73","38","","50","54.212","70.194","36.671","50.029"
"2005","Oklahoma","Big 12","11.188","19","26","23","16","","14","66.751","51.94","76.358","42.845"
"2005","Oklahoma State","Big 12","-4.55","76","80","91","54","","76","34.398","26.6","46.616","55.852"
"2005","Baylor","Big 12","-3.127","52","76","80","48","","56","50.134","33.719","61.231","63.755"
"2005","Utah","Mountain West","3.834","58","54","20","75","","36","57.866","63.96","49.373","46.289"
"2005","BYU","Mountain West","4.355","62","50","56","65","","59","56.964","72.398","35.345","52.129"
"2005","Colorado State","Mountain West","-3.603","63","78","94","64","","91","43.853","53.568","37.713","48.307"
"2005","Wyoming","Mountain West","-1.708","89","71","82","68","","77","42.624","32.615","55.265","49.287"
"2005","San Diego State","Mountain West","-0.122","82","65","81","67","","83","43.988","37.215","55.835","40.073"
"2005","New Mexico","Mountain West","-1.003","60","68","48","74","","58","51.715","50.894","52.013","49.761"
"2005","Air Force","Mountain West","-2.383","96","74","76","77","","84","40.153","63.771","25.063","35.357"
"2005","UNLV","Mountain West","-16.177","110","110","111","81","","110","21.766","22.755","29.201","52.59"
"2005","Middle Tennessee","Sun Belt","-6.562","104","86","61","112","","88","34.107","36.109","40.021","44.017"
"2005","North Texas","Sun Belt","-21.188","115","116","113","105","","110","16.307","16.022","25.212","54.858"
"2005","Connecticut","Big East","-0.135","79","66","63","78","","71","45.484","32.007","69.732","29.735"
"2005","Maryland","ACC","4.582","50","47","77","15","","54","55.573","54.617","52.804","54.692"
"2005","Louisville","Big East","17.486","26","8","3","69","","6","76.277","83.987","54.381","55.246"
"2005","South Florida","Big East","5.054","49","43","55","50","","39","60.879","42.001","73.495","60.211"
