"Year","Rank","Team","Points"
"2012","1","Alabama","313.12"
"2012","2","Texas","300.12"
"2012","3","Florida","290.27"
"2012","4","Florida State","290.11"
"2012","5","Ohio State","286.13"
"2012","6","Michigan","281.12"
"2012","7","Stanford","275.98"
"2012","8","USC","274.18"
"2012","9","Georgia","273.57"
"2012","10","Miami","268.93"
"2012","11","Auburn","261.81"
"2012","12","Oklahoma","255.08"
"2012","13","LSU","252.55"
"2012","14","Oregon","251.25"
"2012","15","South Carolina","248.77"
"2012","16","Texas A&M","248.67"
"2012","17","Notre Dame","248.21"
"2012","18","UCLA","247.77"
"2012","19","Tennessee","242.81"
"2012","20","Clemson","241.73"
"2012","21","Virginia Tech","231.41"
"2012","22","Mississippi State","227.14"
"2012","23","Rutgers","226.24"
"2012","24","Washington","225.52"
"2012","25","Virginia","223.88"
"2012","26","Baylor","222.62"
"2012","27","Arkansas","222.12"
"2012","28","Texas Tech","220.70"
"2012","29","TCU","219.37"
"2012","30","California","217.88"
"2012","31","Oklahoma State","213.82"
"2012","32","Nebraska","213.77"
"2012","33","Missouri","212.40"
"2012","34","Michigan State","210.77"
"2012","35","West Virginia","206.70"
"2012","36","Arizona State","205.33"
"2012","37","Maryland","204.96"
"2012","38","Utah","204.91"
"2012","39","Colorado","203.71"
"2012","40","Iowa","201.08"
"2012","41","North Carolina","199.55"
"2012","42","Arizona","199.26"
"2012","43","Pittsburgh","198.81"
"2012","44","Oregon State","195.63"
"2012","45","Louisville","194.36"
"2012","46","Vanderbilt","194.25"
"2012","47","Penn State","192.63"
"2012","48","Ole Miss","190.69"
"2012","49","Purdue","188.27"
"2012","50","Kentucky","187.81"
"2012","51","Cincinnati","185.26"
"2012","52","NC State","183.70"
"2012","53","Georgia Tech","183.42"
"2012","54","South Florida","181.93"
"2012","55","Northwestern","178.76"
"2012","56","Houston","176.32"
"2012","57","Indiana","175.53"
"2012","58","Washington State","173.37"
"2012","59","Minnesota","171.00"
"2012","60","Syracuse","170.44"
"2012","61","Boise State","169.10"
"2012","62","Duke","165.02"
"2012","63","Illinois","162.09"
"2012","64","Arkansas State","162.02"
"2012","65","Wisconsin","160.75"
"2012","66","Wake Forest","156.07"
"2012","67","Iowa State","155.41"
"2012","68","Southern Mississippi","150.61"
"2012","69","Boston College","150.03"
"2012","70","SMU","149.82"
