Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
401635525,2024,0,regular,2024-08-24T16:00:00.000Z,FALSE,FALSE,TRUE,TRUE,,3504,Aviva Stadium,59,Georgia Tech,ACC,fbs,,,,1497,,52,Florida State,ACC,fbs,,,,1692,,,,Aer Lingus College Football Classic
401643697,2024,0,regular,2024-08-24T20:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3971,University Stadium,167,New Mexico,Mountain West,fbs,,,,1234,,147,Montana State,Big Sky,fcs,,,,,,,,
401643696,2024,0,regular,2024-08-25T00:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3816,Mackay Stadium,2440,Nevada,Mountain West,fbs,,,,1222,,2567,SMU,ACC,fbs,,,,1690,,,,
401643858,2024,0,regular,2024-08-25T03:59:00.000Z,FALSE,FALSE,FALSE,FALSE,,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,Mountain West,fbs,,,,1227,,2169,Delaware State,MEAC,fcs,,,,,,,,
401628458,2024,1,regular,2024-08-29T22:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,6577,SHI Stadium,164,Rutgers,Big Ten,fbs,,,,1460,,47,Howard,MEAC,fcs,,,,,,,,
401636387,2024,1,regular,2024-08-29T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,fbs,,,,1156,,2296,Jackson State,SWAC,fcs,,,,,,,,
401634299,2024,1,regular,2024-08-29T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3670,Carter-Finley Stadium,152,NC State,ACC,fbs,,,,1606,,2717,Western Carolina,Southern,fcs,,,,,,,,
401628582,2024,1,regular,2024-08-29T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3652,Bright House Networks Stadium,2116,UCF,Big 12,fbs,,,,1578,,160,New Hampshire,CAA,fcs,,,,,,,,
401628581,2024,1,regular,2024-08-29T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3630,BB&T Field,154,Wake Forest,ACC,fbs,,,,1431,,2448,North Carolina A&T,CAA,fcs,,,,,,,,
401644727,2024,1,regular,2024-08-29T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3965,UB Stadium,2084,Buffalo,Mid-American,fbs,,,,1357,,322,Lafayette,Patriot,fcs,,,,,,,,
401644729,2024,1,regular,2024-08-29T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,fbs,,,,1431,,2230,Fordham,Patriot,fcs,,,,,,,,
401644730,2024,1,regular,2024-08-29T23:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,,,,1333,,2115,Central Connecticut,NEC,fcs,,,,,,,,
401628320,2024,1,regular,2024-08-29T23:30:00.000Z,FALSE,FALSE,TRUE,FALSE,,3983,War Memorial Stadium,8,Arkansas,SEC,fbs,,,,1454,,2029,Arkansas-Pine Bluff,SWAC,fcs,,,,,,,,
401644728,2024,1,regular,2024-08-29T23:30:00.000Z,FALSE,FALSE,FALSE,FALSE,,3739,Glass Bowl,2649,Toledo,Mid-American,fbs,,,,1526,,2184,Duquesne,NEC,fcs,,,,,,,,
401628327,2024,1,regular,2024-08-30T00:00:00.000Z,FALSE,FALSE,FALSE,FALSE,,3838,Faurot Field,142,Missouri,SEC,fbs,,,,1744,,93,Murray State,MVFC,fcs,,,,,,,,
