"Year","Team","Conference","Rating","Ranking","SecondOrderWins","Sos","Offense Ranking","Offense Rating","Offense Success","Offense Explosiveness","Offense Rushing","Offense Passing","Offense StandardDowns","Offense PassingDowns","Offense RunRate","Offense Pace","Defense Ranking","Defense Rating","Defense Success","Defense Explosiveness","Defense Rushing","Defense Passing","Defense StandardDowns","Defense PassingDowns","Defense Havoc Total","Defense Havoc FrontSeven","Defense Havoc Db","SpecialTeams Rating"
"2005","Texas","SEC","35.3","1","11.9","0.825","2","47.6","130.5","120.1","131.1","124.9","124.4","124.1","0.561","-0.8","10","12.2","118.6","113.9","111.9","121.4","111.6","120.3","0.21","0.115","0.094",""
"2005","USC","Big Ten","34.7","2","12.2","0.839","1","51.6","130.9","111.1","129.1","117.1","120.3","123.5","0.47","-1.4","21","16.9","110.3","111.3","112.3","111.1","111","109.9","0.191","0.124","0.066",""
"2005","Ohio State","Big Ten","31.2","3","9.9","0.805","4","42.1","117.3","101.9","109","117.5","110.8","107.6","0.589","2.3","5","10.9","127.9","114","131.5","120.4","123.3","117.2","0.16699999999999998","0.10099999999999999","0.066",""
"2005","Penn State","Big Ten","29.3","4","10.3","0.872","14","38.2","109.3","108.2","114.1","108","108.6","106.3","0.5760000000000001","-0.5","3","9","131.5","116.6","135.2","120.8","122.1","127.7","0.172","0.10300000000000001","0.064",""
"2005","Miami","ACC","26","5","10.1","0.899","31","33","106.5","110.1","107.3","109","103.6","114.4","0.51","0.3","1","7","125.9","106.1","114.4","116.7","121.5","104.5","0.22699999999999998","0.138","0.084",""
"2005","Virginia Tech","ACC","25.5","6","10.1","0.883","20","35.6","116.6","100.2","110.7","113.7","110.4","102.9","0.601","1.7","4","10.1","127.4","104.1","115.8","120.1","120.4","109.1","0.212","0.16699999999999998","0.045",""
"2005","Texas Tech","Big 12","25.4","7","9.4","0.873","7","40.8","127.9","103.4","122.1","111","116.4","119.8","0.3","-0.5","17","15.4","94","118.6","104.4","100.5","101.9","102.6","0.149","0.091","0.055",""
"2005","Georgia","SEC","22.3","8","10.3","0.9","18","36.1","110.8","111.5","110.6","111.9","110.8","108.2","0.53","1.6","12","13.8","103","110.8","102.3","109.9","102.3","111.2","0.17300000000000001","0.10099999999999999","0.07200000000000001",""
"2005","Notre Dame","FBS Independents","21.8","9","8.7","0.837","6","41.3","112.5","107.9","103.1","114.6","106.9","119.8","0.466","-0.3","33","19.5","119.1","81.9","110.7","96.9","98.9","103.9","0.177","0.11199999999999999","0.063",""
"2005","Iowa","Big Ten","20.9","10","8.9","0.875","13","38.5","110.5","98.2","105.4","104.3","106.4","106","0.47200000000000003","-1.6","26","17.6","105.9","106.1","115.8","100.6","106.6","102.9","0.166","0.098","0.067",""
"2005","Auburn","SEC","20.7","11","9.8","0.896","21","35.4","114","103.9","111.4","109.7","106.7","114.1","0.551","1.1","15","14.7","107.9","99.2","103.6","105.4","105.3","99.9","0.192","0.128","0.063",""
"2005","Louisville","ACC","20.3","12","9.7","0.928","5","41.5","128.6","107.7","113.7","122.6","119.5","113.9","0.5","-1.1","39","21.2","103.3","95","101.9","96.7","100.4","96.3","0.21","0.145","0.06",""
"2005","LSU","SEC","20.3","12","8.9","0.867","35","32","110","100.8","103.4","109.5","104","113.8","0.529","2.4","8","11.7","126.3","100.4","115","115.8","112.2","119.5","0.18600000000000003","0.10099999999999999","0.081",""
"2005","Alabama","SEC","19.8","14","9","0.885","53","28.1","103.9","106.5","104.4","105.6","107.8","100.5","0.508","3.4","2","8.3","139.9","95.8","122.2","116.4","118.6","117.4","0.184","0.10400000000000001","0.075",""
"2005","Boston College","ACC","19.2","15","9.7","0.916","40","30.4","107.5","94.5","98.2","104.4","100.5","106.8","0.49200000000000005","-1","6","11.2","112.7","115.3","122.9","110.5","111.4","117.3","0.18899999999999997","0.133","0.055",""
"2005","Oklahoma","SEC","19","16","7.5","0.843","39","30.9","96.5","100.1","102.8","95.2","99.1","94.7","0.5920000000000001","0.2","9","11.9","123.1","103.4","118.2","115.1","115.3","112.6","0.21","0.157","0.054000000000000006",""
"2005","California","ACC","18.4","17","8.7","0.894","19","35.8","100.2","107.9","113.9","96.8","104.2","103.7","0.562","0.4","25","17.5","114.2","101.2","113.6","106.2","108.4","106.9","0.18600000000000003","0.105","0.078",""
"2005","Oregon","Big Ten","18.1","18","8.3","0.863","24","35","108.7","99.4","101.8","106.2","104.2","106.4","0.43799999999999994","-1.6","21","16.9","116.3","99.5","105.3","112.6","107.2","109","0.20600000000000002","0.133","0.071",""
"2005","Michigan","Big Ten","18.1","18","6.3","0.812","27","33.9","101.7","94.9","95.2","101.9","98.6","98.1","0.499","-0.7","18","15.8","112.3","109.1","109.9","113.2","106.7","118.8","0.174","0.11599999999999999","0.057999999999999996",""
"2005","Minnesota","Big Ten","15.9","20","7.7","0.834","8","40.7","116.8","98.4","109.4","116.6","107.6","115.5","0.645","-2.4","48","24.7","101","95.6","100.7","98.3","99.4","99.1","0.152","0.095","0.047",""
"2005","West Virginia","Big 12","15.8","21","8.1","0.893","29","33.3","106.7","108.9","113.3","101.9","102.9","118","0.7290000000000001","-0.2","26","17.6","98.9","120.2","111","104.7","106.2","107.4","0.18600000000000003","0.08900000000000001","0.092",""
"2005","Iowa State","Big 12","13","22","8.2","0.914","58","27.7","104.7","92.3","91.4","106.6","95.9","107.5","0.512","0.8","15","14.7","100.9","107.8","115.6","98.7","103.4","102.7","0.16699999999999998","0.114","0.052000000000000005",""
"2005","Washington State","Pac-12","13","22","6.6","0.873","10","39.6","102.8","111.9","111.8","103.6","106.6","105.4","0.49700000000000005","-3.2","61","26.6","95.5","107.2","97.8","100.4","97.9","102.1","0.163","0.09699999999999999","0.066",""
"2005","Michigan State","Big Ten","12.9","24","5.5","0.825","9","40.1","114.6","108","115","109.5","113.5","107","0.483","-0.8","64","27.2","95.9","104.3","97.8","99.1","100.2","94.8","0.114","0.049","0.049",""
"2005","Clemson","ACC","12.9","24","7.4","0.893","37","31.1","115","95.2","108.9","105.5","106.9","106.1","0.485","1.1","29","18.2","101.2","103.7","105.1","99.8","103.2","101.8","0.19699999999999998","0.134","0.057999999999999996",""
"2005","Arizona State","Big 12","12.5","26","6.7","0.865","3","42.4","112.8","109.8","104.2","114.1","108","117.3","0.41600000000000004","-2.1","79","29.9","93.6","102.8","97.3","95.7","96.2","103.9","0.171","0.095","0.066",""
"2005","Tennessee","SEC","12.3","27","6.3","0.875","75","23.7","99.2","92.8","97.2","97.2","96.3","98","0.507","0.3","7","11.4","116.4","107.5","116.8","111.9","115","103.2","0.222","0.154","0.068",""
"2005","Purdue","Big Ten","11.8","28","5.9","0.85","15","37.1","107.9","89.8","105.6","94.6","100.6","99.3","0.488","-2.2","52","25.3","101.4","104","107.7","99.2","102.4","103.5","0.14800000000000002","0.106","0.033",""
"2005","Colorado","Big 12","11.7","29","6.9","0.819","56","27.8","99.3","99.8","94.3","100.7","100","97.6","0.46299999999999997","1","20","16.1","111","105.1","121.9","103.7","106","110.9","0.155","0.085","0.06",""
